2024-01-17 18:55:27,524 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Configure stats pid to 22918
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/.config/wandb/settings
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/settings
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cvdl', 'entity': 'moldovandangelu', 'root_dir': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4', 'run_id': 'x3uwiy2i', 'sweep_param_path': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/sweep-20q6hxl2/config-x3uwiy2i.yaml', 'sweep_id': '20q6hxl2'}
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:_log_setup():524] Logging user logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_185527-x3uwiy2i/logs/debug.log
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:_log_setup():525] Logging internal logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_185527-x3uwiy2i/logs/debug-internal.log
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:_jupyter_setup():470] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f18fee4f040>
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:init():564] calling init triggers
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:init():571] wandb.init called with sweep_config: {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.01, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
config: {'NUM_EPOCHS': 30, 'BATCH_SIZE': 48, 'INPUT_SHAPE': (128, 128), 'NUM_LAYERS': 2, 'LR': 0.004, 'INTERMEDIARY_FILTERS': 32, 'OPTIMIZER': 'Adam'}
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:init():614] starting backend
2024-01-17 18:55:27,525 INFO    MainThread:22918 [wandb_init.py:init():618] setting up manager
2024-01-17 18:55:27,528 INFO    MainThread:22918 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-17 18:55:27,528 INFO    MainThread:22918 [wandb_init.py:init():624] backend started and connected
2024-01-17 18:55:27,538 INFO    MainThread:22918 [wandb_run.py:_config_callback():1342] config_cb None None {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.01, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
2024-01-17 18:55:27,540 INFO    MainThread:22918 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2024-01-17 18:55:27,540 INFO    MainThread:22918 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-01-17 18:55:27,540 INFO    MainThread:22918 [wandb_init.py:init():716] updated telemetry
2024-01-17 18:55:27,578 INFO    MainThread:22918 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-17 18:55:28,549 INFO    MainThread:22918 [wandb_run.py:_on_init():2254] communicating current version
2024-01-17 18:55:28,726 INFO    MainThread:22918 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-17 18:55:28,727 INFO    MainThread:22918 [wandb_init.py:init():800] starting run threads in backend
2024-01-17 18:55:34,105 INFO    MainThread:22918 [wandb_run.py:_console_start():2233] atexit reg
2024-01-17 18:55:34,106 INFO    MainThread:22918 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-17 18:55:34,106 INFO    MainThread:22918 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-17 18:55:34,106 INFO    MainThread:22918 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-17 18:55:34,107 INFO    MainThread:22918 [wandb_init.py:init():841] run started, returning control to user process
2024-01-17 18:55:34,109 INFO    MainThread:22918 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-17 18:55:34,109 INFO    MainThread:22918 [wandb_init.py:_pause_backend():435] pausing backend
2024-01-17 18:56:21,755 INFO    MainThread:22918 [wandb_init.py:_resume_backend():440] resuming backend
2024-01-17 18:56:21,760 INFO    MainThread:22918 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-17 18:56:21,760 INFO    MainThread:22918 [wandb_init.py:_pause_backend():435] pausing backend
2024-01-17 19:13:26,364 INFO    MainThread:22918 [wandb_init.py:_resume_backend():440] resuming backend
2024-01-17 19:13:26,365 INFO    MainThread:22918 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-17 19:13:26,366 INFO    MainThread:22918 [wandb_init.py:_pause_backend():435] pausing backend
2024-01-17 19:13:27,299 INFO    MainThread:22918 [wandb_init.py:_resume_backend():440] resuming backend
2024-01-17 19:13:27,747 INFO    MainThread:22918 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-17 19:13:27,747 INFO    MainThread:22918 [wandb_init.py:_pause_backend():435] pausing backend
2024-01-17 19:13:29,264 INFO    MainThread:22918 [wandb_init.py:_resume_backend():440] resuming backend
2024-01-17 19:13:29,266 INFO    MainThread:22918 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-17 19:13:29,266 INFO    MainThread:22918 [wandb_init.py:_pause_backend():435] pausing backend
2024-01-17 19:13:30,672 INFO    MainThread:22918 [wandb_init.py:_resume_backend():440] resuming backend
2024-01-17 19:13:30,676 INFO    MainThread:22918 [pyagent.py:run():314] Starting sweep agent: entity=None, project=cvdl, count=None
2024-01-17 19:13:36,723 WARNING MsgRouterThr:22918 [router.py:message_loop():77] message_loop has been closed
2024-01-17 19:13:38,701 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-17 19:13:38,701 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Configure stats pid to 22918
2024-01-17 19:13:38,701 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/.config/wandb/settings
2024-01-17 19:13:38,701 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/settings
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cvdl', 'entity': 'moldovandangelu', 'root_dir': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4', 'sweep_id': '8f6aatid', 'run_id': 'aas1flh3', 'sweep_param_path': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/sweep-8f6aatid/config-aas1flh3.yaml'}
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_init.py:_log_setup():524] Logging user logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_191338-aas1flh3/logs/debug.log
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_init.py:_log_setup():525] Logging internal logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_191338-aas1flh3/logs/debug-internal.log
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_init.py:init():564] calling init triggers
2024-01-17 19:13:38,702 INFO    Thread-19 :22918 [wandb_init.py:init():571] wandb.init called with sweep_config: {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.004, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
config: {}
2024-01-17 19:13:38,703 INFO    Thread-19 :22918 [wandb_init.py:init():614] starting backend
2024-01-17 19:13:38,703 INFO    Thread-19 :22918 [wandb_init.py:init():618] setting up manager
2024-01-17 19:13:38,711 INFO    Thread-19 :22918 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-17 19:13:38,712 INFO    Thread-19 :22918 [wandb_init.py:init():624] backend started and connected
2024-01-17 19:13:38,733 INFO    Thread-19 :22918 [wandb_run.py:_config_callback():1342] config_cb None None {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.004, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
2024-01-17 19:13:38,734 INFO    Thread-19 :22918 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2024-01-17 19:13:38,734 INFO    Thread-19 :22918 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-01-17 19:13:38,734 INFO    Thread-19 :22918 [wandb_init.py:init():716] updated telemetry
2024-01-17 19:13:38,762 INFO    Thread-19 :22918 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-17 19:13:39,183 INFO    Thread-19 :22918 [wandb_run.py:_on_init():2254] communicating current version
2024-01-17 19:13:39,355 INFO    Thread-19 :22918 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-17 19:13:39,355 INFO    Thread-19 :22918 [wandb_init.py:init():800] starting run threads in backend
2024-01-17 19:13:44,844 INFO    Thread-19 :22918 [wandb_run.py:_console_start():2233] atexit reg
2024-01-17 19:13:44,845 INFO    Thread-19 :22918 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-17 19:13:44,845 INFO    Thread-19 :22918 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-17 19:13:44,845 INFO    Thread-19 :22918 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-17 19:13:44,846 INFO    Thread-19 :22918 [wandb_init.py:init():841] run started, returning control to user process
2024-01-17 19:13:47,703 INFO    Thread-19 :22918 [wandb_run.py:_finish():1962] finishing run moldovandangelu/cvdl/aas1flh3
2024-01-17 19:13:47,704 INFO    Thread-19 :22918 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 1
2024-01-17 19:13:47,704 INFO    Thread-19 :22918 [wandb_run.py:_restore():2185] restore
2024-01-17 19:13:47,704 INFO    Thread-19 :22918 [wandb_run.py:_restore():2191] restore done
2024-01-17 19:13:52,297 INFO    Thread-19 :22918 [wandb_run.py:_footer_history_summary_info():3837] rendering history
2024-01-17 19:13:52,298 INFO    Thread-19 :22918 [wandb_run.py:_footer_history_summary_info():3869] rendering summary
2024-01-17 19:13:52,302 INFO    Thread-19 :22918 [wandb_run.py:_footer_sync_info():3796] logging synced files
2024-01-17 19:13:52,402 ERROR   MainThread:22918 [pyagent.py:_run_jobs_from_queue():226] Run aas1flh3 errored: KeyError('OPTIMIZER')
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Configure stats pid to 22918
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/.config/wandb/settings
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Loading settings from /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/settings
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cvdl', 'entity': 'moldovandangelu', 'root_dir': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4', 'run_id': 'hdyv7qfk', 'sweep_param_path': '/home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/sweep-8f6aatid/config-hdyv7qfk.yaml', 'sweep_id': '8f6aatid'}
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:_log_setup():524] Logging user logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_191404-hdyv7qfk/logs/debug.log
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:_log_setup():525] Logging internal logs to /home/senzationall/Desktop/UBB-Computer-Science/Year3/Semester1/CVDL/LAB4/wandb/run-20240117_191404-hdyv7qfk/logs/debug-internal.log
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:init():564] calling init triggers
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:init():571] wandb.init called with sweep_config: {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.008, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
config: {}
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:init():614] starting backend
2024-01-17 19:14:04,503 INFO    Thread-22 :22918 [wandb_init.py:init():618] setting up manager
2024-01-17 19:14:04,506 INFO    Thread-22 :22918 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-17 19:14:04,507 INFO    Thread-22 :22918 [wandb_init.py:init():624] backend started and connected
2024-01-17 19:14:04,516 INFO    Thread-22 :22918 [wandb_run.py:_config_callback():1342] config_cb None None {'BATCH_SIZE': 32, 'INPUT_SHAPE': [64, 64], 'INTERMEDIARY_FILTERS': 8, 'LR': 0.008, 'NUM_EPOCHS': 10, 'NUM_LAYERS': 2}
2024-01-17 19:14:04,517 INFO    Thread-22 :22918 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2024-01-17 19:14:04,517 INFO    Thread-22 :22918 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-01-17 19:14:04,517 INFO    Thread-22 :22918 [wandb_init.py:init():716] updated telemetry
2024-01-17 19:14:04,549 INFO    Thread-22 :22918 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-17 19:14:05,099 INFO    Thread-22 :22918 [wandb_run.py:_on_init():2254] communicating current version
2024-01-17 19:14:05,282 INFO    Thread-22 :22918 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-17 19:14:05,282 INFO    Thread-22 :22918 [wandb_init.py:init():800] starting run threads in backend
2024-01-17 19:14:10,830 INFO    Thread-22 :22918 [wandb_run.py:_console_start():2233] atexit reg
2024-01-17 19:14:10,830 INFO    Thread-22 :22918 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-17 19:14:10,830 INFO    Thread-22 :22918 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-17 19:14:10,830 INFO    Thread-22 :22918 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-17 19:14:10,831 INFO    Thread-22 :22918 [wandb_init.py:init():841] run started, returning control to user process
2024-01-17 19:14:13,591 INFO    Thread-22 :22918 [wandb_run.py:_finish():1962] finishing run moldovandangelu/cvdl/hdyv7qfk
2024-01-17 19:14:13,591 INFO    Thread-22 :22918 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 1
2024-01-17 19:14:13,591 INFO    Thread-22 :22918 [wandb_run.py:_restore():2185] restore
2024-01-17 19:14:13,591 INFO    Thread-22 :22918 [wandb_run.py:_restore():2191] restore done
